"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"42430","*****","310M300US10100","Aberdeen, SD Micro Area"
"71233","*****","310M300US10140","Aberdeen, WA Micro Area"
"168774","*****","310M300US10180","Abilene, TX Metro Area"
"38213","*****","310M300US10220","Ada, OK Micro Area"
"18760","*****","310M300US10260","Adjuntas, PR Micro Area"
"98673","*****","310M300US10300","Adrian, MI Micro Area"
"320810","*****","310M300US10380","Aguadilla-Isabela, PR Metro Area"
"703168","*****","310M300US10420","Akron, OH Metro Area"
"65333","*****","310M300US10460","Alamogordo, NM Micro Area"
"154830","*****","310M300US10500","Albany, GA Metro Area"
"119862","*****","310M300US10540","Albany, OR Metro Area"
"879291","*****","310M300US10580","Albany-Schenectady-Troy, NY Metro Area"
"60610","*****","310M300US10620","Albemarle, NC Micro Area"
"30751","*****","310M300US10660","Albert Lea, MN Micro Area"
"94534","*****","310M300US10700","Albertville, AL Micro Area"
"904486","*****","310M300US10740","Albuquerque, NM Metro Area"
"40958","*****","310M300US10760","Alexander City, AL Micro Area"
"154745","*****","310M300US10780","Alexandria, LA Metro Area"
"36862","*****","310M300US10820","Alexandria, MN Micro Area"
"41486","*****","310M300US10860","Alice, TX Micro Area"
"830737","*****","310M300US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area"
"41676","*****","310M300US10940","Alma, MI Micro Area"
"28929","*****","310M300US10980","Alpena, MI Micro Area"
"125917","*****","310M300US11020","Altoona, PA Metro Area"
"25864","*****","310M300US11060","Altus, OK Micro Area"
"260495","102","310M300US11100","Amarillo, TX Metro Area"
"36159","*****","310M300US11140","Americus, GA Micro Area"
"94834","*****","310M300US11180","Ames, IA Metro Area"
"49667","*****","310M300US11220","Amsterdam, NY Micro Area"
"398000","*****","310M300US11260","Anchorage, AK Metro Area"
"17215","*****","310M300US11380","Andrews, TX Micro Area"
"34279","*****","310M300US11420","Angola, IN Micro Area"
"358082","*****","310M300US11460","Ann Arbor, MI Metro Area"
"115883","*****","310M300US11500","Anniston-Oxford-Jacksonville, AL Metro Area"
"231452","*****","310M300US11540","Appleton, WI Metro Area"
"35134","*****","310M300US11580","Arcadia, FL Micro Area"
"48530","*****","310M300US11620","Ardmore, OK Micro Area"
"190808","*****","310M300US11640","Arecibo, PR Metro Area"
"22684","*****","310M300US11660","Arkadelphia, AR Micro Area"
"35977","*****","310M300US11680","Arkansas City-Winfield, KS Micro Area"
"441724","*****","310M300US11700","Asheville, NC Metro Area"
"53343","*****","310M300US11740","Ashland, OH Micro Area"
"99175","*****","310M300US11780","Ashtabula, OH Micro Area"
"37660","*****","310M300US11820","Astoria, OR Micro Area"
"16557","*****","310M300US11860","Atchison, KS Micro Area"
"65103","*****","310M300US11900","Athens, OH Micro Area"
"52606","*****","310M300US11940","Athens, TN Micro Area"
"79213","*****","310M300US11980","Athens, TX Micro Area"
"200213","*****","310M300US12020","Athens-Clarke County, GA Metro Area"
"5612777","*****","310M300US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area"
"274026","*****","310M300US12100","Atlantic City-Hammonton, NJ Metro Area"
"37875","*****","310M300US12120","Atmore, AL Micro Area"
"42489","*****","310M300US12140","Auburn, IN Micro Area"
"78783","*****","310M300US12180","Auburn, NY Micro Area"
"153947","*****","310M300US12220","Auburn-Opelika, AL Metro Area"
"584964","*****","310M300US12260","Augusta-Richmond County, GA-SC Metro Area"
"120953","*****","310M300US12300","Augusta-Waterville, ME Micro Area"
"39248","*****","310M300US12380","Austin, MN Micro Area"
"1942615","*****","310M300US12420","Austin-Round Rock, TX Metro Area"
"27237","*****","310M300US12460","Bainbridge, GA Micro Area"
"871337","*****","310M300US12540","Bakersfield, CA Metro Area"
"2780873","*****","310M300US12580","Baltimore-Columbia-Towson, MD Metro Area"
"152978","*****","310M300US12620","Bangor, ME Metro Area"
"63317","*****","310M300US12660","Baraboo, WI Micro Area"
"44875","*****","310M300US12680","Bardstown, KY Micro Area"
"214703","*****","310M300US12700","Barnstable Town, MA Metro Area"
"58963","*****","310M300US12740","Barre, VT Micro Area"
"51892","*****","310M300US12780","Bartlesville, OK Micro Area"
"26739","*****","310M300US12820","Bastrop, LA Micro Area"
"59053","*****","310M300US12860","Batavia, NY Micro Area"
"37030","*****","310M300US12900","Batesville, AR Micro Area"
"824667","*****","310M300US12940","Baton Rouge, LA Metro Area"
"134691","*****","310M300US12980","Battle Creek, MI Metro Area"
"106107","*****","310M300US13020","Bay City, MI Metro Area"
"36719","*****","310M300US13060","Bay City, TX Micro Area"
"21778","*****","310M300US13100","Beatrice, NE Micro Area"
"406506","*****","310M300US13140","Beaumont-Port Arthur, TX Metro Area"
"88404","*****","310M300US13180","Beaver Dam, WI Micro Area"
"123243","*****","310M300US13220","Beckley, WV Metro Area"
"45696","*****","310M300US13260","Bedford, IN Micro Area"
"32706","*****","310M300US13300","Beeville, TX Micro Area"
"45388","*****","310M300US13340","Bellefontaine, OH Micro Area"
"209729","*****","310M300US13380","Bellingham, WA Metro Area"
"45644","*****","310M300US13420","Bemidji, MN Micro Area"
"170813","*****","310M300US13460","Bend-Redmond, OR Metro Area"
"27702","*****","310M300US13500","Bennettsville, SC Micro Area"
"36503","*****","310M300US13540","Bennington, VT Micro Area"
"38392","*****","310M300US13620","Berlin, NH-VT Micro Area"
"43259","*****","310M300US13660","Big Rapids, MI Micro Area"
"37676","104","310M300US13700","Big Spring, TX Micro Area"
"59356","*****","310M300US13720","Big Stone Gap, VA Micro Area"
"166414","100","310M300US13740","Billings, MT Metro Area"
"247030","*****","310M300US13780","Binghamton, NY Metro Area"
"1141309","*****","310M300US13820","Birmingham-Hoover, AL Metro Area"
"126392","81","310M300US13900","Bismarck, ND Metro Area"
"45261","*****","310M300US13940","Blackfoot, ID Micro Area"
"181288","*****","310M300US13980","Blacksburg-Christiansburg-Radford, VA Metro Area"
"189576","*****","310M300US14010","Bloomington, IL Metro Area"
"164330","*****","310M300US14020","Bloomington, IN Metro Area"
"85176","*****","310M300US14100","Bloomsburg-Berwick, PA Metro Area"
"104843","*****","310M300US14140","Bluefield, WV-VA Micro Area"
"44199","*****","310M300US14180","Blytheville, AR Micro Area"
"46367","*****","310M300US14220","Bogalusa, LA Micro Area"
