"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"41033","*****","310M200US10100","Aberdeen, SD Micro Area"
"72092","*****","310M200US10140","Aberdeen, WA Micro Area"
"166202","*****","310M200US10180","Abilene, TX Metro Area"
"37700","*****","310M200US10220","Ada, OK Micro Area"
"19334","*****","310M200US10260","Adjuntas, PR Micro Area"
"99505","*****","310M200US10300","Adrian, MI Micro Area"
"335269","*****","310M200US10380","Aguadilla-Isabela, PR Metro Area"
"704979","*****","310M200US10420","Akron, OH Metro Area"
"64767","*****","310M200US10460","Alamogordo, NM Micro Area"
"157177","*****","310M200US10500","Albany, GA Metro Area"
"117648","*****","310M200US10540","Albany, OR Metro Area"
"873238","*****","310M200US10580","Albany-Schenectady-Troy, NY Metro Area"
"60529","*****","310M200US10620","Albemarle, NC Micro Area"
"31129","*****","310M200US10660","Albert Lea, MN Micro Area"
"93699","*****","310M200US10700","Albertville, AL Micro Area"
"893241","*****","310M200US10740","Albuquerque, NM Metro Area"
"154147","*****","310M200US10780","Alexandria, LA Metro Area"
"36264","*****","310M200US10820","Alexandria, MN Micro Area"
"41217","*****","310M200US10860","Alice, TX Micro Area"
"823731","*****","310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area"
"42148","*****","310M200US10940","Alma, MI Micro Area"
"29399","*****","310M200US10980","Alpena, MI Micro Area"
"126940","*****","310M200US11020","Altoona, PA Metro Area"
"26280","*****","310M200US11060","Altus, OK Micro Area"
"254583","87","310M200US11100","Amarillo, TX Metro Area"
"37116","*****","310M200US11140","Americus, GA Micro Area"
"90750","*****","310M200US11180","Ames, IA Metro Area"
"50019","*****","310M200US11220","Amsterdam, NY Micro Area"
"386756","*****","310M200US11260","Anchorage, AK Metro Area"
"15554","*****","310M200US11380","Andrews, TX Micro Area"
"34190","*****","310M200US11420","Angola, IN Micro Area"
"348560","*****","310M200US11460","Ann Arbor, MI Metro Area"
"117714","*****","310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area"
"227301","*****","310M200US11540","Appleton, WI Metro Area"
"34651","*****","310M200US11580","Arcadia, FL Micro Area"
"47904","*****","310M200US11620","Ardmore, OK Micro Area"
"197661","*****","310M200US11640","Arecibo, PR Metro Area"
"22912","*****","310M200US11660","Arkadelphia, AR Micro Area"
"36232","*****","310M200US11680","Arkansas City-Winfield, KS Micro Area"
"429177","*****","310M200US11700","Asheville, NC Metro Area"
"53234","*****","310M200US11740","Ashland, OH Micro Area"
"100835","*****","310M200US11780","Ashtabula, OH Micro Area"
"37157","*****","310M200US11820","Astoria, OR Micro Area"
"16839","*****","310M200US11860","Atchison, KS Micro Area"
"64811","*****","310M200US11900","Athens, OH Micro Area"
"52338","*****","310M200US11940","Athens, TN Micro Area"
"78636","*****","310M200US11980","Athens, TX Micro Area"
"194878","*****","310M200US12020","Athens-Clarke County, GA Metro Area"
"5379176","*****","310M200US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area"
"274960","*****","310M200US12100","Atlantic City-Hammonton, NJ Metro Area"
"42253","*****","310M200US12140","Auburn, IN Micro Area"
"79767","*****","310M200US12180","Auburn, NY Micro Area"
"144405","*****","310M200US12220","Auburn-Opelika, AL Metro Area"
"570516","*****","310M200US12260","Augusta-Richmond County, GA-SC Metro Area"
"121757","*****","310M200US12300","Augusta-Waterville, ME Micro Area"
"39252","*****","310M200US12380","Austin, MN Micro Area"
"1782032","*****","310M200US12420","Austin-Round Rock, TX Metro Area"
"27676","*****","310M200US12460","Bainbridge, GA Micro Area"
"848204","*****","310M200US12540","Bakersfield, CA Metro Area"
"2734044","*****","310M200US12580","Baltimore-Columbia-Towson, MD Metro Area"
"153649","*****","310M200US12620","Bangor, ME Metro Area"
"62353","*****","310M200US12660","Baraboo, WI Micro Area"
"43905","*****","310M200US12680","Bardstown, KY Micro Area"
"215449","*****","310M200US12700","Barnstable Town, MA Metro Area"
"59427","*****","310M200US12740","Barre, VT Micro Area"
"51329","*****","310M200US12780","Bartlesville, OK Micro Area"
"27603","*****","310M200US12820","Bastrop, LA Micro Area"
"59872","*****","310M200US12860","Batavia, NY Micro Area"
"36786","*****","310M200US12900","Batesville, AR Micro Area"
"808816","*****","310M200US12940","Baton Rouge, LA Metro Area"
"135534","*****","310M200US12980","Battle Creek, MI Metro Area"
"107312","*****","310M200US13020","Bay City, MI Metro Area"
"36639","*****","310M200US13060","Bay City, TX Micro Area"
"22055","*****","310M200US13100","Beatrice, NE Micro Area"
"403814","*****","310M200US13140","Beaumont-Port Arthur, TX Metro Area"
"88598","*****","310M200US13180","Beaver Dam, WI Micro Area"
"124882","*****","310M200US13220","Beckley, WV Metro Area"
"46053","*****","310M200US13260","Bedford, IN Micro Area"
"32281","*****","310M200US13300","Beeville, TX Micro Area"
"45678","*****","310M200US13340","Bellefontaine, OH Micro Area"
"203211","*****","310M200US13380","Bellingham, WA Metro Area"
"45021","*****","310M200US13420","Bemidji, MN Micro Area"
"160565","*****","310M200US13460","Bend-Redmond, OR Metro Area"
"28542","*****","310M200US13500","Bennettsville, SC Micro Area"
"36871","*****","310M200US13540","Bennington, VT Micro Area"
"38796","*****","310M200US13620","Berlin, NH-VT Micro Area"
"43007","*****","310M200US13660","Big Rapids, MI Micro Area"
"36473","108","310M200US13700","Big Spring, TX Micro Area"
"60901","*****","310M200US13720","Big Stone Gap, VA Micro Area"
"160991","104","310M200US13740","Billings, MT Metro Area"
"250087","*****","310M200US13780","Binghamton, NY Metro Area"
"1132182","*****","310M200US13820","Birmingham-Hoover, AL Metro Area"
"117878","87","310M200US13900","Bismarck, ND Metro Area"
"45485","*****","310M200US13940","Blackfoot, ID Micro Area"
"178865","*****","310M200US13980","Blacksburg-Christiansburg-Radford, VA Metro Area"
"187751","*****","310M200US14010","Bloomington, IL Metro Area"
"161101","*****","310M200US14020","Bloomington, IN Metro Area"
"85400","*****","310M200US14100","Bloomsburg-Berwick, PA Metro Area"
"106925","*****","310M200US14140","Bluefield, WV-VA Micro Area"
"45912","*****","310M200US14180","Blytheville, AR Micro Area"
"46935","*****","310M200US14220","Bogalusa, LA Micro Area"
"628966","*****","310M200US14260","Boise City, ID Metro Area"
"26310","*****","310M200US14340","Boone, IA Micro Area"
"51557","*****","310M200US14380","Boone, NC Micro Area"
"21986","*****","310M200US14420","Borger, TX Micro Area"
"4604278","*****","310M200US14460","Boston-Cambridge-Newton, MA-NH Metro Area"
"301072","*****","310M200US14500","Boulder, CO Metro Area"
"160455","*****","310M200US14540","Bowling Green, KY Metro Area"
"91499","*****","310M200US14580","Bozeman, MT Micro Area"
"43294","*****","310M200US14620","Bradford, PA Micro Area"
"91227","*****","310M200US14660","Brainerd, MN Micro Area"
"84229","*****","310M200US14700","Branson, MO Micro Area"
"28091","*****","310M200US14720","Breckenridge, CO Micro Area"
"252687","*****","310M200US14740","Bremerton-Silverdale, WA Metro Area"
"33863","*****","310M200US14780","Brenham, TX Micro Area"
"32894","*****","310M200US14820","Brevard, NC Micro Area"
"926233","*****","310M200US14860","Bridgeport-Stamford-Norwalk, CT Metro Area"
"34870","*****","310M200US15020","Brookhaven, MS Micro Area"
"22361","*****","310M200US15060","Brookings, OR Micro Area"
"32295","*****","310M200US15100","Brookings, SD Micro Area"
"410710","*****","310M200US15180","Brownsville-Harlingen, TX Metro Area"
"37942","*****","310M200US15220","Brownwood, TX Micro Area"
"112831","*****","310M200US15260","Brunswick, GA Metro Area"
"43348","*****","310M200US15340","Bucyrus, OH Micro Area"
"1134695","*****","310M200US15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"
"43158","*****","310M200US15420","Burley, ID Micro Area"
"47487","*****","310M200US15460","Burlington, IA-IL Micro Area"
"152472","*****","310M200US15500","Burlington, NC Metro Area"
"212640","*****","310M200US15540","Burlington-South Burlington, VT Metro Area"
"34322","*****","310M200US15580","Butte-Silver Bow, MT Micro Area"
"47630","*****","310M200US15620","Cadillac, MI Micro Area"
"55409","*****","310M200US15660","Calhoun, GA Micro Area"
"107079","*****","310M200US15680","California-Lexington Park, MD Metro Area"
"32617","*****","310M200US15700","Cambridge, MD Micro Area"
"39935","*****","310M200US15740","Cambridge, OH Micro Area"
"30970","*****","310M200US15780","Camden, AR Micro Area"
"24585","*****","310M200US15820","Campbellsville, KY Micro Area"
"46850","*****","310M200US15860","Cañon City, CO Micro Area"
"36829","*****","310M200US15900","Canton, IL Micro Area"
"404037","*****","310M200US15940","Canton-Massillon, OH Metro Area"
"633968","*****","310M200US15980","Cape Coral-Fort Myers, FL Metro Area"
"96710","*****","310M200US16020","Cape Girardeau, MO-IL Metro Area"
"126661","*****","310M200US16060","Carbondale-Marion, IL Metro Area"
"54284","*****","310M200US16100","Carlsbad-Artesia, NM Micro Area"
"54821","*****","310M200US16180","Carson City, NV Metro Area"
"77343","*****","310M200US16220","Casper, WY Metro Area"
"46435","*****","310M200US16260","Cedar City, UT Micro Area"
"260033","*****","310M200US16300","Cedar Rapids, IA Metro Area"
"41308","*****","310M200US16340","Cedartown, GA Micro Area"
"40811","*****","310M200US16380","Celina, OH Micro Area"
"39070","*****","310M200US16460","Centralia, IL Micro Area"
"75419","*****","310M200US16500","Centralia, WA Micro Area"
"150594","*****","310M200US16540","Chambersburg-Waynesboro, PA Metro Area"
"233039","*****","310M200US16580","Champaign-Urbana, IL Metro Area"
"226180","*****","310M200US16620","Charleston, WV Metro Area"
"64747","*****","310M200US16660","Charleston-Mattoon, IL Micro Area"
"682904","*****","310M200US16700","Charleston-North Charleston, SC Metro Area"
"2261321","*****","310M200US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area"
"220802","*****","310M200US16820","Charlottesville, VA Metro Area"
"533187","*****","310M200US16860","Chattanooga, TN-GA Metro Area"
"93073","*****","310M200US16940","Cheyenne, WY Metro Area"
"9488493","*****","310M200US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
"220542","*****","310M200US17020","Chico, CA Metro Area"
"77802","*****","310M200US17060","Chillicothe, OH Micro Area"
"2122940","*****","310M200US17140","Cincinnati, OH-KY-IN Metro Area"
"217946","*****","310M200US17200","Claremont-Lebanon, NH-VT Micro Area"
"94197","*****","310M200US17220","Clarksburg, WV Micro Area"
"25815","*****","310M200US17260","Clarksdale, MS Micro Area"
"266098","*****","310M200US17300","Clarksville, TN-KY Metro Area"
"64260","*****","310M200US17340","Clearlake, CA Micro Area"
"34107","*****","310M200US17380","Cleveland, MS Micro Area"
"116793","*****","310M200US17420","Cleveland, TN Metro Area"
"2070965","*****","310M200US17460","Cleveland-Elyria, OH Metro Area"
"38346","*****","310M200US17500","Clewiston, FL Micro Area"
"48896","*****","310M200US17540","Clinton, IA Micro Area"
"49302","*****","310M200US17580","Clovis, NM Micro Area"
"40579","*****","310M200US17620","Coamo, PR Micro Area"
"30807","*****","310M200US17640","Coco, PR Micro Area"
"140785","*****","310M200US17660","Coeur d'Alene, ID Metro Area"
"34869","*****","310M200US17700","Coffeyville, KS Micro Area"
"44398","*****","310M200US17740","Coldwater, MI Micro Area"
"231417","*****","310M200US17780","College Station-Bryan, TX Metro Area"
"657699","*****","310M200US17820","Colorado Springs, CO Metro Area"
"165776","*****","310M200US17860","Columbia, MO Metro Area"
"776794","*****","310M200US17900","Columbia, SC Metro Area"
"303626","*****","310M200US17980","Columbus, GA-AL Metro Area"
"77930","*****","310M200US18020","Columbus, IN Metro Area"
"59746","*****","310M200US18060","Columbus, MS Micro Area"
"32350","*****","310M200US18100","Columbus, NE Micro Area"
"1926242","*****","310M200US18140","Columbus, OH Metro Area"
"146710","*****","310M200US18180","Concord, NH Micro Area"
"24112","*****","310M200US18220","Connersville, IN Micro Area"
"106338","*****","310M200US18260","Cookeville, TN Micro Area"
"62753","*****","310M200US18300","Coos Bay, OR Micro Area"
"23521","*****","310M200US18380","Cordele, GA Micro Area"
"37159","*****","310M200US18420","Corinth, MS Micro Area"
"43181","*****","310M200US18460","Cornelia, GA Micro Area"
"98951","*****","310M200US18500","Corning, NY Micro Area"
"433094","*****","310M200US18580","Corpus Christi, TX Metro Area"
"47883","*****","310M200US18620","Corsicana, TX Micro Area"
"49271","*****","310M200US18660","Cortland, NY Micro Area"
"85989","*****","310M200US18700","Corvallis, OR Metro Area"
"36862","*****","310M200US18740","Coshocton, OH Micro Area"
"13447","*****","310M200US18780","Craig, CO Micro Area"
"38215","*****","310M200US18820","Crawfordsville, IN Micro Area"
"28357","*****","310M200US18860","Crescent City, CA Micro Area"
"242442","*****","310M200US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area"
"56589","*****","310M200US18900","Crossville, TN Micro Area"
"80499","*****","310M200US18980","Cullman, AL Micro Area"
"40362","*****","310M200US19000","Cullowhee, NC Micro Area"
"102409","*****","310M200US19060","Cumberland, MD-WV Metro Area"
"6575833","*****","310M200US19100","Dallas-Fort Worth-Arlington, TX Metro Area"
"142060","*****","310M200US19140","Dalton, GA Metro Area"
"81147","*****","310M200US19180","Danville, IL Metro Area"
"53303","*****","310M200US19220","Danville, KY Micro Area"
"106073","*****","310M200US19260","Danville, VA Micro Area"
"187114","*****","310M200US19300","Daphne-Fairhope-Foley, AL Metro Area"
"381142","*****","310M200US19340","Davenport-Moline-Rock Island, IA-IL Metro Area"
"801888","*****","310M200US19380","Dayton, OH Metro Area"
"32080","*****","310M200US19420","Dayton, TN Micro Area"
"153682","*****","310M200US19460","Decatur, AL Metro Area"
"110262","*****","310M200US19500","Decatur, IL Metro Area"
"34424","*****","310M200US19540","Decatur, IN Micro Area"
"38911","*****","310M200US19580","Defiance, OH Micro Area"
"48730","*****","310M200US19620","Del Rio, TX Micro Area"
"593569","*****","310M200US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
"25001","*****","310M200US19700","Deming, NM Micro Area"
"2601465","*****","310M200US19740","Denver-Aurora-Lakewood, CO Metro Area"
"35891","*****","310M200US19760","DeRidder, LA Micro Area"
"580913","*****","310M200US19780","Des Moines-West Des Moines, IA Metro Area"
"4295700","*****","310M200US19820","Detroit-Warren-Dearborn, MI Metro Area"
"25666","*****","310M200US19860","Dickinson, ND Micro Area"
"35535","*****","310M200US19940","Dixon, IL Micro Area"
"34217","*****","310M200US19980","Dodge City, KS Micro Area"
