"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"42078","*****","310M200US10100","Aberdeen, SD Micro Area"
"71419","*****","310M200US10140","Aberdeen, WA Micro Area"
"167945","*****","310M200US10180","Abilene, TX Metro Area"
"38055","*****","310M200US10220","Ada, OK Micro Area"
"18962","*****","310M200US10260","Adjuntas, PR Micro Area"
"98902","*****","310M200US10300","Adrian, MI Micro Area"
"325921","*****","310M200US10380","Aguadilla-Isabela, PR Metro Area"
"703744","*****","310M200US10420","Akron, OH Metro Area"
"65318","*****","310M200US10460","Alamogordo, NM Micro Area"
"155917","*****","310M200US10500","Albany, GA Metro Area"
"118971","*****","310M200US10540","Albany, OR Metro Area"
"877846","*****","310M200US10580","Albany-Schenectady-Troy, NY Metro Area"
"60586","*****","310M200US10620","Albemarle, NC Micro Area"
"30897","*****","310M200US10660","Albert Lea, MN Micro Area"
"94318","*****","310M200US10700","Albertville, AL Micro Area"
"902731","*****","310M200US10740","Albuquerque, NM Metro Area"
"154587","*****","310M200US10780","Alexandria, LA Metro Area"
"36620","*****","310M200US10820","Alexandria, MN Micro Area"
"41461","*****","310M200US10860","Alice, TX Micro Area"
"828232","*****","310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area"
"41878","*****","310M200US10940","Alma, MI Micro Area"
"29068","*****","310M200US10980","Alpena, MI Micro Area"
"126448","*****","310M200US11020","Altoona, PA Metro Area"
"26056","*****","310M200US11060","Altus, OK Micro Area"
"259216","88","310M200US11100","Amarillo, TX Metro Area"
"36503","*****","310M200US11140","Americus, GA Micro Area"
"93586","*****","310M200US11180","Ames, IA Metro Area"
"49779","*****","310M200US11220","Amsterdam, NY Micro Area"
"395285","*****","310M200US11260","Anchorage, AK Metro Area"
"16775","*****","310M200US11380","Andrews, TX Micro Area"
"34267","*****","310M200US11420","Angola, IN Micro Area"
"354092","*****","310M200US11460","Ann Arbor, MI Metro Area"
"116648","*****","310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area"
"230108","*****","310M200US11540","Appleton, WI Metro Area"
"34957","*****","310M200US11580","Arcadia, FL Micro Area"
"48442","*****","310M200US11620","Ardmore, OK Micro Area"
"193243","*****","310M200US11640","Arecibo, PR Metro Area"
"22751","*****","310M200US11660","Arkadelphia, AR Micro Area"
"36079","*****","310M200US11680","Arkansas City-Winfield, KS Micro Area"
"437252","*****","310M200US11700","Asheville, NC Metro Area"
"53189","*****","310M200US11740","Ashland, OH Micro Area"
