"GEO_ID","B01003_001E","B01003_001M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Geographic Area Name"
"310M100US23380","61284","*****","Fremont, OH Micro Area"
"310M100US23420","908830","*****","Fresno, CA Metro Area"
"310M100US23460","104066","*****","Gadsden, AL Metro Area"
"310M100US23500","54832","*****","Gaffney, SC Micro Area"
"310M100US23540","260930","*****","Gainesville, FL Metro Area"
"310M100US23580","175001","*****","Gainesville, GA Metro Area"
"310M100US23620","38316","*****","Gainesville, TX Micro Area"
"310M100US23660","70677","*****","Galesburg, IL Micro Area"
"310M100US23700","70663","*****","Gallup, NM Micro Area"
"310M100US23780","36139","*****","Garden City, KS Micro Area"
"310M100US23820","47042","*****","Gardnerville Ranchos, NV Micro Area"
"310M100US23860","60236","*****","Georgetown, SC Micro Area"
"310M100US23900","100839","*****","Gettysburg, PA Micro Area"
"310M100US23940","43179","*****","Gillette, WY Micro Area"
"310M100US23980","51815","*****","Glasgow, KY Micro Area"
"310M100US24020","128795","*****","Glens Falls, NY Metro Area"
"310M100US24100","55497","*****","Gloversville, NY Micro Area"
"310M100US24140","120102","*****","Goldsboro, NC Metro Area"
"310M100US24180","58016","*****","Granbury, TX Micro Area"
"310M100US24220","98107","*****","Grand Forks, ND-MN Metro Area"
"310M100US24260","70985","*****","Grand Island, NE Micro Area"
"310M100US24300","142284","*****","Grand Junction, CO Metro Area"
"310M100US24340","772621","*****","Grand Rapids-Wyoming, MI Metro Area"
"310M100US24380","27179","*****","Grants, NM Micro Area"
"310M100US24420","82172","*****","Grants Pass, OR Micro Area"
"310M100US24460","27499","*****","Great Bend, KS Micro Area"
"310M100US24500","80562","*****","Great Falls, MT Metro Area"
"310M100US24540","242860","*****","Greeley, CO Metro Area"
"310M100US24580","302755","*****","Green Bay, WI Metro Area"
"310M100US24620","68172","*****","Greeneville, TN Micro Area"
"310M100US24660","709142","*****","Greensboro-High Point, NC Metro Area"
"310M100US24700","25584","*****","Greensburg, IN Micro Area"
"310M100US24740","52455","*****","Greenville, MS Micro Area"
"310M100US24780","182542","*****","Greenville, NC Metro Area"
"310M100US24820","52945","*****","Greenville, OH Micro Area"
"310M100US24860","621286","*****","Greenville-Mauldin-Easley, SC Metro Area"
"310M100US24900","43717","*****","Greenwood, MS Micro Area"
"310M100US24940","68890","*****","Greenwood, SC Micro Area"
"310M100US24980","22169","*****","Grenada, MS Micro Area"
"310M100US25020","84575","*****","Guayama, PR Metro Area"
"310M100US25060","241122","*****","Gulfport-Biloxi, MS Metro Area"
"310M100US25100","19826","*****","Guymon, OK Micro Area"
"310M100US25180","264648","*****","Hagerstown-Martinsburg, MD-WV Metro Area"
"310M100US25220","118190","*****","Hammond, LA Micro Area"
"310M100US25260","151122","*****","Hanford-Corcoran, CA Metro Area"
"310M100US25300","38706","*****","Hannibal, MO Micro Area"
"310M100US25340","54156","*****","Harriman, TN Micro Area"
"310M100US25380","25171","*****","Harrisburg, IL Micro Area"
