"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"41564","*****","310M200US10100","Aberdeen, SD Micro Area"
"71734","*****","310M200US10140","Aberdeen, WA Micro Area"
"167171","*****","310M200US10180","Abilene, TX Metro Area"
"37873","*****","310M200US10220","Ada, OK Micro Area"
"19188","*****","310M200US10260","Adjuntas, PR Micro Area"
"99257","*****","310M200US10300","Adrian, MI Micro Area"
"331146","*****","310M200US10380","Aguadilla-Isabela, PR Metro Area"
"703017","*****","310M200US10420","Akron, OH Metro Area"
"65415","*****","310M200US10460","Alamogordo, NM Micro Area"
"156706","*****","310M200US10500","Albany, GA Metro Area"
"118270","*****","310M200US10540","Albany, OR Metro Area"
"875567","*****","310M200US10580","Albany-Schenectady-Troy, NY Metro Area"
"60553","*****","310M200US10620","Albemarle, NC Micro Area"
"31034","*****","310M200US10660","Albert Lea, MN Micro Area"
"94121","*****","310M200US10700","Albertville, AL Micro Area"
"899137","*****","310M200US10740","Albuquerque, NM Metro Area"
"154562","*****","310M200US10780","Alexandria, LA Metro Area"
"36413","*****","310M200US10820","Alexandria, MN Micro Area"
"41348","*****","310M200US10860","Alice, TX Micro Area"
"826260","*****","310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area"
"42057","*****","310M200US10940","Alma, MI Micro Area"
"29242","*****","310M200US10980","Alpena, MI Micro Area"
"126708","*****","310M200US11020","Altoona, PA Metro Area"
"26275","*****","310M200US11060","Altus, OK Micro Area"
"257038","121","310M200US11100","Amarillo, TX Metro Area"
"36858","*****","310M200US11140","Americus, GA Micro Area"
"91939","*****","310M200US11180","Ames, IA Metro Area"
"49951","*****","310M200US11220","Amsterdam, NY Micro Area"
"392021","*****","310M200US11260","Anchorage, AK Metro Area"
"16126","*****","310M200US11380","Andrews, TX Micro Area"
"34190","*****","310M200US11420","Angola, IN Micro Area"
"351454","*****","310M200US11460","Ann Arbor, MI Metro Area"
"117186","*****","310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area"
"228641","*****","310M200US11540","Appleton, WI Metro Area"
"34785","*****","310M200US11580","Arcadia, FL Micro Area"
"48288","*****","310M200US11620","Ardmore, OK Micro Area"
"195749","*****","310M200US11640","Arecibo, PR Metro Area"
"22800","*****","310M200US11660","Arkadelphia, AR Micro Area"
"36201","*****","310M200US11680","Arkansas City-Winfield, KS Micro Area"
"433204","*****","310M200US11700","Asheville, NC Metro Area"
"53202","*****","310M200US11740","Ashland, OH Micro Area"
"100346","*****","310M200US11780","Ashtabula, OH Micro Area"
"37236","*****","310M200US11820","Astoria, OR Micro Area"
"16737","*****","310M200US11860","Atchison, KS Micro Area"
"64840","*****","310M200US11900","Athens, OH Micro Area"
"52409","*****","310M200US11940","Athens, TN Micro Area"
"78836","*****","310M200US11980","Athens, TX Micro Area"
"196287","*****","310M200US12020","Athens-Clarke County, GA Metro Area"
"5455053","*****","310M200US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area"
"275325","*****","310M200US12100","Atlantic City-Hammonton, NJ Metro Area"
"42321","*****","310M200US12140","Auburn, IN Micro Area"
"79481","*****","310M200US12180","Auburn, NY Micro Area"
"147790","*****","310M200US12220","Auburn-Opelika, AL Metro Area"
"575669","*****","310M200US12260","Augusta-Richmond County, GA-SC Metro Area"
"121507","*****","310M200US12300","Augusta-Waterville, ME Micro Area"
"39312","*****","310M200US12380","Austin, MN Micro Area"
"1835016","*****","310M200US12420","Austin-Round Rock, TX Metro Area"
"27508","*****","310M200US12460","Bainbridge, GA Micro Area"
"857730","*****","310M200US12540","Bakersfield, CA Metro Area"
"2753396","*****","310M200US12580","Baltimore-Columbia-Towson, MD Metro Area"
"153627","*****","310M200US12620","Bangor, ME Metro Area"
"62681","*****","310M200US12660","Baraboo, WI Micro Area"
"44254","*****","310M200US12680","Bardstown, KY Micro Area"
"215167","*****","310M200US12700","Barnstable Town, MA Metro Area"
"59333","*****","310M200US12740","Barre, VT Micro Area"
"51564","*****","310M200US12780","Bartlesville, OK Micro Area"
"27319","*****","310M200US12820","Bastrop, LA Micro Area"
"59702","*****","310M200US12860","Batavia, NY Micro Area"
"36861","*****","310M200US12900","Batesville, AR Micro Area"
"814805","*****","310M200US12940","Baton Rouge, LA Metro Area"
"135150","*****","310M200US12980","Battle Creek, MI Metro Area"
"107074","*****","310M200US13020","Bay City, MI Metro Area"
"36611","*****","310M200US13060","Bay City, TX Micro Area"
"21889","*****","310M200US13100","Beatrice, NE Micro Area"
"404741","*****","310M200US13140","Beaumont-Port Arthur, TX Metro Area"
"88589","*****","310M200US13180","Beaver Dam, WI Micro Area"
"124536","*****","310M200US13220","Beckley, WV Metro Area"
"45970","*****","310M200US13260","Bedford, IN Micro Area"
"32462","*****","310M200US13300","Beeville, TX Micro Area"
"45564","*****","310M200US13340","Bellefontaine, OH Micro Area"
"204855","*****","310M200US13380","Bellingham, WA Metro Area"
"45236","*****","310M200US13420","Bemidji, MN Micro Area"
"163141","*****","310M200US13460","Bend-Redmond, OR Metro Area"
"28294","*****","310M200US13500","Bennettsville, SC Micro Area"
"36739","*****","310M200US13540","Bennington, VT Micro Area"
"38433","*****","310M200US13620","Berlin, NH-VT Micro Area"
"43226","*****","310M200US13660","Big Rapids, MI Micro Area"
"36892","122","310M200US13700","Big Spring, TX Micro Area"
"60499","*****","310M200US13720","Big Stone Gap, VA Micro Area"
"162892","117","310M200US13740","Billings, MT Metro Area"
"249261","*****","310M200US13780","Binghamton, NY Metro Area"
"1135534","*****","310M200US13820","Birmingham-Hoover, AL Metro Area"
"120688","97","310M200US13900","Bismarck, ND Metro Area"
"45558","*****","310M200US13940","Blackfoot, ID Micro Area"
"179908","*****","310M200US13980","Blacksburg-Christiansburg-Radford, VA Metro Area"
"188851","*****","310M200US14010","Bloomington, IL Metro Area"
"162422","*****","310M200US14020","Bloomington, IN Metro Area"
"85564","*****","310M200US14100","Bloomsburg-Berwick, PA Metro Area"
"106492","*****","310M200US14140","Bluefield, WV-VA Micro Area"
"45385","*****","310M200US14180","Blytheville, AR Micro Area"
"46723","*****","310M200US14220","Bogalusa, LA Micro Area"
"639616","*****","310M200US14260","Boise City, ID Metro Area"
"26326","*****","310M200US14340","Boone, IA Micro Area"
"51903","*****","310M200US14380","Boone, NC Micro Area"
"21947","*****","310M200US14420","Borger, TX Micro Area"
"4650876","*****","310M200US14460","Boston-Cambridge-Newton, MA-NH Metro Area"
"305166","*****","310M200US14500","Boulder, CO Metro Area"
"162322","*****","310M200US14540","Bowling Green, KY Metro Area"
"93108","*****","310M200US14580","Bozeman, MT Micro Area"
"43024","*****","310M200US14620","Bradford, PA Micro Area"
"91399","*****","310M200US14660","Brainerd, MN Micro Area"
"84679","*****","310M200US14700","Branson, MO Micro Area"
"28482","*****","310M200US14720","Breckenridge, CO Micro Area"
"253614","*****","310M200US14740","Bremerton-Silverdale, WA Metro Area"
"34039","*****","310M200US14780","Brenham, TX Micro Area"
"32943","*****","310M200US14820","Brevard, NC Micro Area"
"934215","*****","310M200US14860","Bridgeport-Stamford-Norwalk, CT Metro Area"
"34824","*****","310M200US15020","Brookhaven, MS Micro Area"
"22341","*****","310M200US15060","Brookings, OR Micro Area"
"32647","*****","310M200US15100","Brookings, SD Micro Area"
"415103","*****","310M200US15180","Brownsville-Harlingen, TX Metro Area"
"37903","*****","310M200US15220","Brownwood, TX Micro Area"
"113572","*****","310M200US15260","Brunswick, GA Metro Area"
"43036","*****","310M200US15340","Bucyrus, OH Micro Area"
"1135667","*****","310M200US15380","Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"
"43466","*****","310M200US15420","Burley, ID Micro Area"
"47339","*****","310M200US15460","Burlington, IA-IL Micro Area"
"153713","*****","310M200US15500","Burlington, NC Metro Area"
"213891","*****","310M200US15540","Burlington-South Burlington, VT Metro Area"
"34462","*****","310M200US15580","Butte-Silver Bow, MT Micro Area"
"47685","*****","310M200US15620","Cadillac, MI Micro Area"
"55666","*****","310M200US15660","Calhoun, GA Micro Area"
"108472","*****","310M200US15680","California-Lexington Park, MD Metro Area"
"32614","*****","310M200US15700","Cambridge, MD Micro Area"
"39794","*****","310M200US15740","Cambridge, OH Micro Area"
"30687","*****","310M200US15780","Camden, AR Micro Area"
"25059","*****","310M200US15820","Campbellsville, KY Micro Area"
"46879","*****","310M200US15860","Cañon City, CO Micro Area"
"36616","*****","310M200US15900","Canton, IL Micro Area"
"403629","*****","310M200US15940","Canton-Massillon, OH Metro Area"
"647554","*****","310M200US15980","Cape Coral-Fort Myers, FL Metro Area"
"97246","*****","310M200US16020","Cape Girardeau, MO-IL Metro Area"
"126933","*****","310M200US16060","Carbondale-Marion, IL Metro Area"
"54834","*****","310M200US16100","Carlsbad-Artesia, NM Micro Area"
"54634","*****","310M200US16180","Carson City, NV Metro Area"
"78667","*****","310M200US16220","Casper, WY Metro Area"
"46725","*****","310M200US16260","Cedar City, UT Micro Area"
"261429","*****","310M200US16300","Cedar Rapids, IA Metro Area"
"41250","*****","310M200US16340","Cedartown, GA Micro Area"
"40789","*****","310M200US16380","Celina, OH Micro Area"
"38922","*****","310M200US16460","Centralia, IL Micro Area"
"75382","*****","310M200US16500","Centralia, WA Micro Area"
"151517","*****","310M200US16540","Chambersburg-Waynesboro, PA Metro Area"
"234672","*****","310M200US16580","Champaign-Urbana, IL Metro Area"
"225248","*****","310M200US16620","Charleston, WV Metro Area"
"64605","*****","310M200US16660","Charleston-Mattoon, IL Micro Area"
"697281","*****","310M200US16700","Charleston-North Charleston, SC Metro Area"
"2298915","*****","310M200US16740","Charlotte-Concord-Gastonia, NC-SC Metro Area"
"223063","*****","310M200US16820","Charlottesville, VA Metro Area"
"537397","*****","310M200US16860","Chattanooga, TN-GA Metro Area"
"94412","*****","310M200US16940","Cheyenne, WY Metro Area"
"9516448","*****","310M200US16980","Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
"221578","*****","310M200US17020","Chico, CA Metro Area"
"77552","*****","310M200US17060","Chillicothe, OH Micro Area"
"2131793","*****","310M200US17140","Cincinnati, OH-KY-IN Metro Area"
"217906","*****","310M200US17200","Claremont-Lebanon, NH-VT Micro Area"
"94320","*****","310M200US17220","Clarksburg, WV Micro Area"
"25527","*****","310M200US17260","Clarksdale, MS Micro Area"
"270751","*****","310M200US17300","Clarksville, TN-KY Metro Area"
"64209","*****","310M200US17340","Clearlake, CA Micro Area"
"33961","*****","310M200US17380","Cleveland, MS Micro Area"
"117719","*****","310M200US17420","Cleveland, TN Metro Area"
"2067490","*****","310M200US17460","Cleveland-Elyria, OH Metro Area"
"38360","*****","310M200US17500","Clewiston, FL Micro Area"
"48663","*****","310M200US17540","Clinton, IA Micro Area"
"50173","*****","310M200US17580","Clovis, NM Micro Area"
"40496","*****","310M200US17620","Coamo, PR Micro Area"
"30506","*****","310M200US17640","Coco, PR Micro Area"
"142783","*****","310M200US17660","Coeur d'Alene, ID Metro Area"
"34602","*****","310M200US17700","Coffeyville, KS Micro Area"
"43965","*****","310M200US17740","Coldwater, MI Micro Area"
"235316","*****","310M200US17780","College Station-Bryan, TX Metro Area"
"669070","*****","310M200US17820","Colorado Springs, CO Metro Area"
"168268","*****","310M200US17860","Columbia, MO Metro Area"
"784698","*****","310M200US17900","Columbia, SC Metro Area"
"308363","*****","310M200US17980","Columbus, GA-AL Metro Area"
"78628","*****","310M200US18020","Columbus, IN Metro Area"
"59736","*****","310M200US18060","Columbus, MS Micro Area"
"32485","*****","310M200US18100","Columbus, NE Micro Area"
"1948188","*****","310M200US18140","Columbus, OH Metro Area"
"146880","*****","310M200US18180","Concord, NH Micro Area"
"23955","*****","310M200US18220","Connersville, IN Micro Area"
"106901","*****","310M200US18260","Cookeville, TN Micro Area"
"62678","*****","310M200US18300","Coos Bay, OR Micro Area"
"23403","*****","310M200US18380","Cordele, GA Micro Area"
"37279","*****","310M200US18420","Corinth, MS Micro Area"
"43342","*****","310M200US18460","Cornelia, GA Micro Area"
"98917","*****","310M200US18500","Corning, NY Micro Area"
"437528","*****","310M200US18580","Corpus Christi, TX Metro Area"
"48073","*****","310M200US18620","Corsicana, TX Micro Area"
"49231","*****","310M200US18660","Cortland, NY Micro Area"
"86034","*****","310M200US18700","Corvallis, OR Metro Area"
"36768","*****","310M200US18740","Coshocton, OH Micro Area"
"13286","*****","310M200US18780","Craig, CO Micro Area"
"38183","*****","310M200US18820","Crawfordsville, IN Micro Area"
"28066","*****","310M200US18860","Crescent City, CA Micro Area"
"246805","*****","310M200US18880","Crestview-Fort Walton Beach-Destin, FL Metro Area"
"57064","*****","310M200US18900","Crossville, TN Micro Area"
"80668","*****","310M200US18980","Cullman, AL Micro Area"
"40598","*****","310M200US19000","Cullowhee, NC Micro Area"
"101888","*****","310M200US19060","Cumberland, MD-WV Metro Area"
"6703020","*****","310M200US19100","Dallas-Fort Worth-Arlington, TX Metro Area"
"142548","*****","310M200US19140","Dalton, GA Metro Area"
"80773","*****","310M200US19180","Danville, IL Metro Area"
"53696","*****","310M200US19220","Danville, KY Micro Area"
"105659","*****","310M200US19260","Danville, VA Micro Area"
"191205","*****","310M200US19300","Daphne-Fairhope-Foley, AL Metro Area"
"381913","*****","310M200US19340","Davenport-Moline-Rock Island, IA-IL Metro Area"
"801259","*****","310M200US19380","Dayton, OH Metro Area"
"32272","*****","310M200US19420","Dayton, TN Micro Area"
"153579","*****","310M200US19460","Decatur, AL Metro Area"
"109833","*****","310M200US19500","Decatur, IL Metro Area"
"34533","*****","310M200US19540","Decatur, IN Micro Area"
"38795","*****","310M200US19580","Defiance, OH Micro Area"
"48999","*****","310M200US19620","Del Rio, TX Micro Area"
"597824","*****","310M200US19660","Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
"24947","*****","310M200US19700","Deming, NM Micro Area"
"2651392","*****","310M200US19740","Denver-Aurora-Lakewood, CO Metro Area"
"36109","*****","310M200US19760","DeRidder, LA Micro Area"
"590741","*****","310M200US19780","Des Moines-West Des Moines, IA Metro Area"
"4292647","*****","310M200US19820","Detroit-Warren-Dearborn, MI Metro Area"
"27038","*****","310M200US19860","Dickinson, ND Micro Area"
"35248","*****","310M200US19940","Dixon, IL Micro Area"
"34604","*****","310M200US19980","Dodge City, KS Micro Area"
"147165","*****","310M200US20020","Dothan, AL Metro Area"
"42947","*****","310M200US20060","Douglas, GA Micro Area"
"167477","*****","310M200US20100","Dover, DE Metro Area"
"57878","*****","310M200US20140","Dublin, GA Micro Area"
"81472","*****","310M200US20180","DuBois, PA Micro Area"
"95166","*****","310M200US20220","Dubuque, IA Metro Area"
"279894","*****","310M200US20260","Duluth, MN-WI Metro Area"
"22172","*****","310M200US20300","Dumas, TX Micro Area"
"44900","*****","310M200US20340","Duncan, OK Micro Area"
"121789","*****","310M200US20380","Dunn, NC Micro Area"
"52547","*****","310M200US20420","Durango, CO Micro Area"
"43595","*****","310M200US20460","Durant, OK Micro Area"
"525050","*****","310M200US20500","Durham-Chapel Hill, NC Metro Area"
"38156","*****","310M200US20540","Dyersburg, TN Micro Area"
"55821","*****","310M200US20580","Eagle Pass, TX Micro Area"
"37894","*****","310M200US20660","Easton, MD Micro Area"
"168342","*****","310M200US20700","East Stroudsburg, PA Metro Area"
"163658","*****","310M200US20740","Eau Claire, WI Metro Area"
"52233","*****","310M200US20780","Edwards, CO Micro Area"
"34280","*****","310M200US20820","Effingham, IL Micro Area"
"41219","*****","310M200US20900","El Campo, TX Micro Area"
"177026","*****","310M200US20940","El Centro, CA Metro Area"
"40954","*****","310M200US20980","El Dorado, AR Micro Area"
"63867","*****","310M200US21020","Elizabeth City, NC Micro Area"
"150917","*****","310M200US21060","Elizabethtown-Fort Knox, KY Metro Area"
"22941","*****","310M200US21120","Elk City, OK Micro Area"
"199544","*****","310M200US21140","Elkhart-Goshen, IN Metro Area"
"29446","*****","310M200US21180","Elkins, WV Micro Area"
"52752","163","310M200US21220","Elko, NV Micro Area"
"41705","*****","310M200US21260","Ellensburg, WA Micro Area"
"88681","*****","310M200US21300","Elmira, NY Metro Area"
"827206","*****","310M200US21340","El Paso, TX Metro Area"
"33510","*****","310M200US21380","Emporia, KS Micro Area"
"61663","*****","310M200US21420","Enid, OK Micro Area"
"50726","*****","310M200US21460","Enterprise, AL Micro Area"
"280132","*****","310M200US21500","Erie, PA Metro Area"
"36841","*****","310M200US21540","Escanaba, MI Micro Area"
"40155","*****","310M200US21580","Española, NM Micro Area"
"354764","*****","310M200US21660","Eugene, OR Metro Area"
"134876","*****","310M200US21700","Eureka-Arcata-Fortuna, CA Micro Area"
"20989","*****","310M200US21740","Evanston, WY Micro Area"
"313450","*****","310M200US21780","Evansville, IN-KY Metro Area"
"99319","*****","310M200US21820","Fairbanks, AK Metro Area"
"17102","*****","310M200US21840","Fairfield, IA Micro Area"
"56698","*****","310M200US21900","Fairmont, WV Micro Area"
"24347","*****","310M200US21980","Fallon, NV Micro Area"
"218290","*****","310M200US22020","Fargo, ND-MN Metro Area"
"64829","*****","310M200US22060","Faribault-Northfield, MN Micro Area"
"65813","*****","310M200US22100","Farmington, MO Micro Area"
"127358","*****","310M200US22140","Farmington, NM Metro Area"
"374036","*****","310M200US22180","Fayetteville, NC Metro Area"
"483396","*****","310M200US22220","Fayetteville-Springdale-Rogers, AR-MO Metro Area"
"57417","*****","310M200US22260","Fergus Falls, MN Micro Area"
"51579","*****","310M200US22280","Fernley, NV Micro Area"
"75290","*****","310M200US22300","Findlay, OH Micro Area"
"17547","*****","310M200US22340","Fitzgerald, GA Micro Area"
"135817","*****","310M200US22380","Flagstaff, AZ Metro Area"
"418654","*****","310M200US22420","Flint, MI Metro Area"
"206219","*****","310M200US22500","Florence, SC Metro Area"
"147271","*****","310M200US22520","Florence-Muscle Shoals, AL Metro Area"
"101709","*****","310M200US22540","Fond du Lac, WI Metro Area"
"67181","*****","310M200US22580","Forest City, NC Micro Area"
"27642","*****","310M200US22620","Forrest City, AR Micro Area"
"311435","*****","310M200US22660","Fort Collins, CO Metro Area"
"37399","*****","310M200US22700","Fort Dodge, IA Micro Area"
"53343","*****","310M200US22780","Fort Leonard Wood, MO Micro Area"
"61361","*****","310M200US22800","Fort Madison-Keokuk, IA-IL-MO Micro Area"
"28342","*****","310M200US22820","Fort Morgan, CO Micro Area"
"52844","*****","310M200US22860","Fort Polk South, LA Micro Area"
"280394","*****","310M200US22900","Fort Smith, AR-OK Metro Area"
"422029","*****","310M200US23060","Fort Wayne, IN Metro Area"
"32987","*****","310M200US23140","Frankfort, IN Micro Area"
